#{"t_start": 1787011359.127397, "env_id": "Humanoid-v4"}
r,l,t
94.756875,19,1.207769
95.215046,19,1.22173
100.593244,20,1.23669
127.820956,25,1.25564
88.330594,18,1.269602
83.591152,17,1.28157
98.859616,20,1.298525
83.381021,17,1.31149
170.45042,35,1.338418
121.243153,24,1.35637
111.671037,22,1.376317
163.140437,31,1.400253
125.184326,25,1.421197
88.250435,18,1.434162
83.269785,17,1.44613
118.467389,23,1.464082
111.62303,22,1.480039
122.505154,24,1.497991
107.426974,21,1.513948
94.296827,19,1.529906
178.835526,37,1.56182
122.206332,26,1.581767
115.900555,23,1.598722
101.821651,20,1.612684
102.446076,21,1.627644
113.615593,22,1.646594
114.065244,23,1.663548
170.355683,33,1.689478
123.287344,24,1.706433
128.677068,25,1.725383
95.691506,19,1.745329
83.417064,17,1.757298
95.286904,19,1.77126
115.901211,23,1.789212
89.473858,18,1.802177
115.348062,23,1.820129
211.08658,43,1.856033
135.489569,27,1.875979
134.110939,26,1.895926
105.952651,21,1.911883
114.515533,23,1.931831
89.001374,18,1.949782
211.803291,43,1.991671
129.83686,26,2.010619
88.761466,18,2.024583
132.143327,26,2.043531
109.438994,22,2.060486
147.434316,28,2.084421
107.129801,21,2.100379
131.509851,26,2.120326
106.983075,21,2.139275
303.820377,60,2.188144
105.843578,21,2.204101
182.486589,36,2.232027
153.615183,30,2.254965
117.446268,23,2.27192
145.299793,28,2.292864
83.634699,17,2.306827
122.134604,25,2.325776
93.818666,19,2.339738
83.142284,17,2.354698
88.662863,18,2.367664
161.653836,32,2.392597
167.372579,33,2.420522
141.787642,28,2.441467
141.650369,28,2.46241
96.167007,19,2.476372
96.370351,19,2.489338
94.87296,19,2.5033
83.611282,17,2.515268
131.222384,26,2.539205
138.479489,27,2.560148
122.972819,25,2.5781
128.420599,25,2.59705
152.312007,33,2.621983
117.48736,24,2.64193
112.328738,22,2.657887
106.317372,21,2.673845
126.916496,25,2.692794
112.457876,22,2.708751
105.88875,21,2.7277
90.305315,18,2.74266
107.312714,21,2.758618
88.580406,18,2.775572
89.782007,18,2.788537
101.029353,20,2.803497
101.634922,20,2.81746
150.969171,29,2.839401
117.834641,23,2.85835
112.169273,22,2.874308
123.287971,24,2.896249
100.402591,20,2.911209
131.349516,25,2.930158
185.508082,36,2.957087
110.727022,22,2.975039
89.379058,18,2.988004
158.536135,31,3.012937
83.793742,17,3.024905
138.283336,28,3.045849
94.918051,19,3.059811
154.529529,31,3.088734
101.461041,20,3.103694
152.626534,32,3.128627
100.116483,20,3.143587
123.290231,25,3.162536
118.301203,23,3.179491
94.987388,19,3.194451
130.161806,26,3.214397
84.908052,17,3.227363
89.471717,18,3.239331
139.824872,27,3.263267
89.824568,18,3.276232
160.108662,32,3.302162
95.482489,19,3.316125
95.511223,19,3.330088
139.495006,28,3.352029
83.428698,17,3.363997
83.987945,17,3.375965
88.085624,18,3.388931
125.339,25,3.409875
131.021393,26,3.431816
155.498679,31,3.455752
83.219987,17,3.46772
140.72733,28,3.488663
161.08669,33,3.514594
205.757709,41,3.552493
95.688211,19,3.566455
216.162897,41,3.59837
101.06604,20,3.61333
133.592601,26,3.634274
95.894782,19,3.651228
137.371005,27,3.671175
116.695824,23,3.68813
95.698378,19,3.702092
113.748894,22,3.719047
83.61197,17,3.731015
94.73105,19,3.746972
94.286368,19,3.760935
90.535334,18,3.773901
83.463577,17,3.785868
83.630689,17,3.801825
237.236413,46,3.837729
167.318322,33,3.86366
143.667393,28,3.884604
119.480736,24,3.902556
170.694463,33,3.927489
88.274589,18,3.940454
109.962417,22,3.956412
101.40898,20,3.973366
123.330458,24,3.991319
124.543585,25,4.01326
115.995352,23,4.030214
152.155955,31,4.05415
146.28389,28,4.077089
144.676939,28,4.09903
91.984163,19,4.112993
83.555082,17,4.125958
139.142704,27,4.145905
130.976797,28,4.166848
123.951025,24,4.1848
131.90248,26,4.209734
172.472486,34,4.235664
83.50323,17,4.247632
101.121528,20,4.262592
126.708267,26,4.281541
153.931826,31,4.306475
88.397786,18,4.336395
139.316962,28,4.357339
89.523091,18,4.370304
136.677469,28,4.391248
105.824175,21,4.412192
109.641145,22,4.429147
159.968788,34,4.455077
189.739672,36,4.483002
126.234014,25,4.502949
88.68283,18,4.515914
133.028754,28,4.538853
83.326027,17,4.550821
95.181245,19,4.564783
100.463413,20,4.579744
89.120463,18,4.595701
122.703478,24,4.613653
142.645714,28,4.636591
123.745086,25,4.65554
89.74393,18,4.668506
88.411956,18,4.681472
105.804376,21,4.697429
137.447952,28,4.718372
140.101405,28,4.747296
119.218653,23,4.765247
83.56899,17,4.781204
83.139814,17,4.793172
88.367082,18,4.806138
136.173265,28,4.827081
106.49,21,4.843039
229.336591,44,4.87994
132.961055,26,4.898889
122.21962,24,4.916841
83.5615,17,4.928809
105.408726,21,4.944767
146.553871,28,4.970697
109.424375,22,4.986655
106.671299,21,5.001614
118.518383,23,5.018569
94.734975,19,5.032531
174.275205,35,5.058462
106.651547,22,5.075417
89.003293,18,5.090377
94.742081,19,5.10434
